zip,city,state,lat,lon
99547,Atka,Alaska,52.1961,-174.2006
99660,Saint Paul Island,Alaska,57.1842,-170.2764
99509,Anchorage,Alaska,61.2181,-149.9003
99523,Anchorage,Alaska,61.2181,-149.9003
99524,Anchorage,Alaska,61.2181,-149.9003
99589,Goodnews Bay,Alaska,59.1189,-161.5875
99670,South Naknek,Alaska,58.6639,-156.9756
99579,Egegik,Alaska,58.2062,-157.3422
99747,Kaktovik,Alaska,70.1319,-143.6239
99749,Kiana,Alaska,66.975,-160.4228
99919,Thorne Bay,Alaska,55.6609,-132.5138
99754,Koyukuk,Alaska,64.8803,-157.7008
36027,Eufaula,Alabama,31.9051,-85.1656
36456,Mc Kenzie,Alabama,31.545,-86.7356
36922,Ward,Alabama,32.3038,-88.1476
36446,Fulton,Alabama,31.7925,-87.72
36346,Jack,Alabama,31.5652,-85.971
35616,Cherokee,Alabama,34.7442,-87.9724
35179,Vinemont,Alabama,34.2621,-86.9125
36759,Marion Junction,Alabama,32.4266,-87.2702
35974,Geraldine,Alabama,34.3592,-86.024
35906,Rainbow City,Alabama,33.9318,-86.0898
35448,Clinton,Alabama,32.9137,-87.9925
36304,Dothan,Alabama,31.156,-85.3559
35020,Bessemer,Alabama,33.409,-86.9475
35091,Kimberly,Alabama,33.7684,-86.8084
35202,Birmingham,Alabama,33.5207,-86.8025
35217,Birmingham,Alabama,33.5887,-86.765
35228,Birmingham,Alabama,33.4558,-86.9118
35586,Sulligent,Alabama,33.8549,-88.1508
35631,Florence,Alabama,34.87,-87.7069
35618,Courtland,Alabama,34.6719,-87.3143
35612,Athens,Alabama,34.7749,-87.0305
36732,Demopolis,Alabama,32.4908,-87.8397
36523,Coden,Alabama,30.3903,-88.2076
36587,Wilmer,Alabama,30.8137,-88.3332
36641,Mobile,Alabama,30.6589,-88.178
35640,Hartselle,Alabama,34.4482,-86.9242
36925,York,Alabama,32.4728,-88.2683
35096,Lincoln,Alabama,33.6059,-86.1112
35457,Echola,Alabama,33.294,-87.7766
35130,Quinton,Alabama,33.6561,-87.1007
72038,Crocketts Bluff,Arkansas,34.4528,-91.2692
72055,Gillett,Arkansas,34.1218,-91.38
72745,Lowell,Arkansas,36.2554,-94.1308
72633,Everton,Arkansas,36.1534,-92.915
72616,Berryville,Arkansas,36.3519,-93.5587
71721,Beirne,Arkansas,33.8887,-93.2041
72454,Piggott,Arkansas,36.387,-90.1926
72157,Springfield,Arkansas,35.2749,-92.5457
72411,Bay,Arkansas,35.7456,-90.5507
